"MLS#","Cnty/IncC","Status","PropType","Address","Close Date","#Beds","#Baths","Price","YearBuilt","DOM","Zip","#BathsBG","#BathsML","#BathsULs","#BedsBG","#BedsML","#BedsULs","Acres #","TotFinSF","AGTotSF","AGFin","AGUnfin","BGTotSF","BGFin","BGUfin","GarAGUnf","GarTotAG","TotUnfinSF","Driveway","#FBaths","#HBaths","AssnFee","Basement","Basement","Builder","Carpt#Car","City","CDOM","DOMLS","DepAGFin","DepAGUfin","DepBGFin","DepBGUfin","DepTotAG","DepTotBG","DepTotSF","VOW Addr","Zoning","SourceSqFt","Sold Price","SellerConc","SaleNotes","RoadMaint","Garage#Car","Garage","Lockbox","Foreclosur","LenderOwn","ShortSale","How Sold","Lst Date","Cont Date","View","Level","Design","Heating","Air Conditioning","Fireplace","Rm01Lv","Rm10Lv","Rm11Lv","Rm12Lv","Rm13Lv","Rm14Lv","Rm15Lv","Rm16Lv","Rm17Lv","Rm18Lv","Rm19Lv","Rm02Lv","Rm20Lv","Rm21Lv","Rm22Lv","Rm23Lv","Rm24Lv","Rm25Lv","Rm26Lv","Rm27Lv","Rm28Lv","Rm29Lv","Rm03Lv","Rm30Lv","Rm04Lv","Rm05Lv","Rm06Lv","Rm07Lv","Rm08Lv","Rm09Lv","Rm01","Rm10","Rm11","Rm12","Rm13","Rm14","Rm15","Rm16","Rm17","Rm18","Rm19","Rm02","Rm20","Rm21","Rm22","Rm23","Rm24","Rm25","Rm26","Rm27","Rm28","Rm29","Rm03","Rm30","Rm04","Rm05","Rm06","Rm07","Rm08","Rm09","Attached Home","Structure-Deck/Porch","Garage Features","Amen HOA/COA/Club/Sub","Unit#","Dependencies","Accoc. Fee","SubArea"
"556903","001","SLD","Detached","940 CHARTER OAKS DR","4/14/2017","5","3.50","$540,000","1997","32","22901","1.00","1.50","1.00","1","1","3","0.41","4683","4,000","4,000","0","1,770","683","1,087","0","0","1,087","Asphalt","3","1","222","Yes","Walk Out","HAUSER",,"CHARLOTTESVILLE","32","32",,,,,"0","0","0","No","R-1 Reside","Owner","$540,000","300","N/A","0","2.00","Y","CAAR","No","No","No","CNVFI","2/9/2017","3/13/2017","Residential View","2 Story",,"Central Heat, Natural Gas","Central AC","One, Stone","1","2","2","2","2","Basement","Basement","Basement",,,,"1",,,,,,,,,,,"1",,"1","1","1","1","1","2","Great Room","Bedroom","Bedroom","Full Bath","Loft","Rec Room","Bedroom","Full Bath",,,,"Dining Room",,,,,,,,,,,"Kitchen",,"Breakfast Room","Half Bath","Master Bedroom","Full Bath","Living Room","Bedroom",,"Deck, Patio, Porch - Front, Porch - Rear, Porch - Screened","Attached, Faces Front","Clubhouse, Play Area, Pool, Tennis",,,"H",
"557809","001","SLD","Detached","950 CHARTER OAKS DR","6/22/2017","4","3.50","$484,000","1998","13","22901","1.00","0.50","2.00","0","0","4","0.36","3110","2,521","2,521","0","1,232","589","643","406","406","1,049",,"3","1","888","Yes","Full, Heated, Inside Access, Partly Finished, Walk Out, Windows",,,"CHARLOTTESVILLE","13","13",,,,,"0","0","0","No","R-4 Reside","Public Rec","$484,000","5,000",,"0","2.00","Y","CAAR","No","No","No","FHA","3/1/2017","3/14/2017",,"2 Story","Colonial","Natural Gas","Central AC","Gas Logs, One","1","2","2","2","Basement","Basement","Basement","2",,,,"1",,,,,,,,,,,"1",,"1","1","1","2","2","2","Foyer","Bedroom","Full Bath","Bedroom","Rec Room","Study/Library","Full Bath","Laundry",,,,"Living Room",,,,,,,,,,,"Dining Room",,"Family Room","Kitchen","Half Bath","Master Bedroom","Full Bath","Bedroom",,"Deck, Patio, Porch - Screened","Attached, Faces Front",,,,"H",
"560549","001","SLD","Detached","409 PICKETT LN","6/22/2017","5","3.50","$545,000","2000","4","22901","1.00","0.50","2.00","1","0","4","0.34","3807","2,730","2,730","0","1,145","1,077","68","503","503","571",,"3","1","211","Yes","Finished, Full, Heated, Inside Access, Outside Entrance, Walk Out, Windows",,,"CHARLOTTESVILLE","4","4",,,,,"0","0","0","No","R-1 Reside","Public Rec","$545,000","0","N/A","0","2.00","Y","CAAR","No","No","No","OTHER","4/20/2017","4/24/2017",,"2 Story","Colonial","Dual Fuel, Heat Pump, Natural Gas","Heat Pump","Gas Logs, One","1","2","2","2","Basement","Basement","Basement","Basement","Basement",,,"1",,,,,,,,,,,"1",,"1","1","1","2","2","2","Foyer","Bedroom","Bedroom","Full Bath","Bedroom","Full Bath","Rec Room","Den","Bonus Room",,,"Living Room",,,,,,,,,,,"Dining Room",,"Kitchen","Family Room","Half Bath","Master Bedroom","Full Bath","Bedroom",,"Deck, Patio, Porch - Front","Attached, Auto Door, Electricity, Faces Front",,,,"H",
"565447","001","PND","Detached","1311 DUNLORA DR","10/2/2017","4","2.50","$479,000","1996","7","22901","0.00","0.50","2.00","0","0","4","0.35","3075","2,419","2,419","0","1,196","656","540","0","0","1,046","Asphalt","2","1","222","Yes","Finished, Full, Inside Access, Outside Entrance, Windows",,,"CHARLOTTESVILLE","7","7",,,,,"0","0","0","No","R Resident","Public Rec",,,,"0","2.00","Y","CAAR",,"No","No",,"8/4/2017","8/11/2017","Residential View","2 Story","Colonial","Heat Pump","Heat Pump","Gas, Gas Logs, One","1","2","2","Basement",,,,,,,,"1",,,,,,,,,,,"1",,"1","1","2","2","2","2","Living Room","Full Bath","Full Bath","Rec Room",,,,,,,,"Dining Room",,,,,,,,,,,"Family Room",,"Kitchen","Half Bath","Master Bedroom","Bedroom","Bedroom","Bedroom",,"Deck, Porch - Front","Attached, Auto Door, Electricity, Faces Side, In Basement","Clubhouse, Exercise Room, Picnic Area, Play Area, Pool, Soccer Field, Tennis, Walk/Run Trails",,,"H",
"559070","001","ACT","Detached","1162 RIVER CHASE RDG",,"5","3.50","$525,000","1995","153","22901","1.00","0.50","2.00","1","0","4","0.39","4542","3,054","3,054","0","1,488","1,488","0","477","477","477","Asphalt","3","1","222","Yes","Finished, Full, Heated, Inside Access, Outside Entrance, Walk Out, Windows",,,"CHARLOTTESVILLE","153","153",,,,,"0","0","0","No","R-4 Reside","Public Rec",,,,"0","2.00","Y","CAAR",,"No","No",,"3/23/2017",,"Residential View","2 Story","Colonial","Forced Air, Natural Gas","Central AC","Two","1","2","2","2","2","2","Basement","Basement","Basement","Basement","Basement","1",,,,,,,,,,,"1",,"1","1","1","1","2","2","Foyer","Bedroom","Bedroom","Bedroom","Full Bath","Laundry","Living Room","Kitchen","Bedroom","Full Bath","Laundry","Living Room",,,,,,,,,,,"Dining Room",,"Kitchen","Family Room","Half Bath","Study/Library","Master Bedroom","Full Bath",,"Porch - Front, Porch - Screened","Faces Front","Clubhouse, Play Area, Pool, Walk/Run Trails",,,"H",
