MLS#,Cnty/IncC,Status,PropType,Address,Close Date,#Beds,#Baths,Price,YearBuilt,DOM,Zip,#BathsBG,#BathsML,#BathsULs,#BedsBG,#BedsML,#BedsULs,Acres #,TotFinSF,AGTotSF,AGFin,AGUnfin,BGTotSF,BGFin,BGUfin,GarAGUnf,GarTotAG,TotUnfinSF,Driveway,#FBaths,#HBaths,AssnFee,Basement,Basement,Builder,Carpt#Car,City,CDOM,DOMLS,DepAGFin,DepAGUfin,DepBGFin,DepBGUfin,DepTotAG,DepTotBG,DepTotSF,VOW Addr,Zoning,SourceSqFt,Sold Price,SellerConc,SaleNotes,RoadMaint,Garage#Car,Garage,Lockbox,Foreclosur,LenderOwn,ShortSale,How Sold,Lst Date,Cont Date,View,Level,Design,Heating,Air Conditioning,Fireplace,Rm01Lv,Rm10Lv,Rm11Lv,Rm12Lv,Rm13Lv,Rm14Lv,Rm15Lv,Rm16Lv,Rm17Lv,Rm18Lv,Rm19Lv,Rm02Lv,Rm20Lv,Rm21Lv,Rm22Lv,Rm23Lv,Rm24Lv,Rm25Lv,Rm26Lv,Rm27Lv,Rm28Lv,Rm29Lv,Rm03Lv,Rm30Lv,Rm04Lv,Rm05Lv,Rm06Lv,Rm07Lv,Rm08Lv,Rm09Lv,Rm01,Rm10,Rm11,Rm12,Rm13,Rm14,Rm15,Rm16,Rm17,Rm18,Rm19,Rm02,Rm20,Rm21,Rm22,Rm23,Rm24,Rm25,Rm26,Rm27,Rm28,Rm29,Rm03,Rm30,Rm04,Rm05,Rm06,Rm07,Rm08,Rm09,Attached Home,Structure-Deck/Porch,Garage Features,Amen HOA/COA/Club/Sub,Unit#,Dependencies,Accoc. Fee,SubArea
556903,1,SLD,Detached,940 CHARTER OAKS DR,4/14/2017,5,3.5,"$540,000 ",1997,32,22901,1,1.5,1,1,1,3,0.41,4683,"4,000","4,000",0,"1,770",683,"1,087",0,0,"1,087",Asphalt,3,1,222,Yes,Walk Out,HAUSER,,CHARLOTTESVILLE,32,32,,,,,0,0,0,No,R-1 Reside,Owner,"$540,000 ",300,N/A,0,2,Y,CAAR,No,No,No,PVTMT,2/9/2017,3/13/2017,Residential View,2 Story,,"Central Heat, Natural Gas",Central AC,"One, Stone",1,2,2,2,2,Basement,Basement,Basement,,,,1,,,,,,,,,,,1,,1,1,1,1,1,2,Great Room,Bedroom,Bedroom,Full Bath,Loft,Rec Room,Bedroom,Full Bath,,,,Dining Room,,,,,,,,,,,Kitchen,,Breakfast Room,Half Bath,Master Bedroom,Full Bath,Living Room,Bedroom,,"Deck, Patio, Porch - Front, Porch - Rear, Porch - Screened","Attached, Faces Front","Clubhouse, Play Area, Pool, Tennis",,,H,
557809,1,SLD,Detached,950 CHARTER OAKS DR,6/22/2017,4,3.5,"$484,000 ",1998,13,22901,1,0.5,2,0,0,4,0.36,3110,"2,521","2,521",0,"1,232",589,643,406,406,"1,049",,3,1,888,Yes,"Full, Heated, Inside Access, Partly Finished, Walk Out, Windows",,,CHARLOTTESVILLE,13,13,,,,,0,0,0,No,R-4 Reside,Public Rec,"$484,000 ","5,000",,0,2,Y,CAAR,No,No,No,FHA,3/1/2017,3/14/2017,,2 Story,Colonial,Natural Gas,Central AC,"Gas Logs, One",1,2,2,2,Basement,Basement,Basement,2,,,,1,,,,,,,,,,,1,,1,1,1,2,2,2,Foyer,Bedroom,Full Bath,Bedroom,Rec Room,Study/Library,Full Bath,Laundry,,,,Living Room,,,,,,,,,,,Dining Room,,Family Room,Kitchen,Half Bath,Master Bedroom,Full Bath,Bedroom,,"Deck, Patio, Porch - Screened","Attached, Faces Front",,,,H,
